rumi	jawi	jawi_niskala
a	أي	
adobe	ايدوبي	 ايدۆبي
adudu	ادودو	
aira	اٴيرا	
airaha	اٴيراها	
airaha	اࢨراها	
aisha	عائشة	
aishia	عائشة	
aisya	عائشة	
aishia	عائشة	
ajarkannya	اجرکنڽ	
ajax	اجيک‌س	
ajax	ايجيک‌س	اێجێک‌س
akatsuki	اکاتسوکي	
ali	علي	
alice	اليس	
amakawa	اماکاوا	
amane	اماني	امانێ
amato	اماتو	
amazeey	اميزي	
android	اندروٴيد	
anemo	انيمو	انێمۆ
anime	انيمي	انيمێ
anisotropic	انيسوترڤيک	انيسۆترۆڤيک
anisotropik	انيسوترڤيک	انيسۆترۆڤيک
anya	اڽا	
apakah	اڤاکه	
apple	ايڤل	
arch	ٴرچ	
artix	ارتيک‌س	
ass	أي.ايس.ايس.	
ass	ايس	
asura	اسورا	
axolotl	اکزولوتل	
ayase	اياسي	
azure	ايزور	
b	بي	
babibu	بابيبو	
banana	بنانا	
bart	بارت	
basalt	باسل‌ت	
bedrock	بيدروک	
begitulah	بݢيتوله	
beltram	بيلترم	بێلترم
beltrum	بيلترم	بێلترم
bennett	بينيت	بێنّێت
betulkah	بتولکه	
birch	برچ	
blocks	بلوک‌س	بلۆک‌س
blue	بلو	
bluet	بلوٴيت	بلۆٴێت
boboiboy	بوبويبوي	
bocchi	بوچي	بۆچّي
bochi	بوچي	
boci	بوچي	
boolean	بوليئن	
boreas	بورياس	بۆرياس
boruto	بوروتو	بۆروتۆ
brown	براٴون	
bruh	بره	
bruh	بروه	
c	سي	
celia	سيليا	سێليا
cepatlah	چڤتله	
chainsaw	چينسو	چێنسۆ
chan	چن	
-chan	-چن	
chicken	چيکن	
christina	کريستينا	
claire	کلير	کلێر
cornflower	کورنفلاور	
creeper	کريڤر	
crowdin	کراٴودين	
curseforge	کرس‌فورج	
cyno	ساٴينو	ساٴينۆ
d	دي	
damian	داميان	
davinci	داۏينچي	
debian	ديبيان	دێبيان
dedoldia	ديدولديا	دێدۆلديا
deep	ديڤ	
dendro	ديندرو	دێندرۆ
desmond	ديسموند	دێسمۆند
discord	ديسکورد	ديسکۆرد
dr	د.ر.	
dungeons	دنجن‌س	دنجنٓ‌س
e	إي	
edna	ايدنا	اێدنا
ei	ٴي	ٴێ
ei	ࢨ	ࢨٚ
electro	ايليکترو	
eleina	ايريئينا	
emilia	ايميليا	
end	ٴين‌د	
ender	ٴيندر	
enderman	ٴيندرمين	
endermite	ٴيندرماٴيت	
endo	ايندو	
eris	ايريس	
ern	ٴرن	
estelle	ايستيل	
exponent	ايکسڤونن	
f	ايف	
fittoa	فيتوا	
flan	فلن	
forger	فورجر	
fotoshop	فوتوشوڤ	
fotosyop	فوتوشوڤ	
fran	فرن	
fried	فراٴيد	
fubuki	فوبوکي	
fx	ايف.ايک‌س	
fx	ايفيک‌س	
g	جي	
gambarkan	ݢمبرکن	
ghast	ݢس‌ت	
ghislaine	ݢيلين	
ghoul	غول	
golem	ݢولم	
goodmami	ݢودمامي	
google	ݢوݢل	
gopal	ݢوڤل	
greyrat	ݢريرت	
gugel	ݢوݢل	
h	ايچ	
hachune	هاچوني	
hacune	هاچوني	
hakurei	هاکوري	
hanazawa	هانازاوا	
hanna	هانا	
haruto	هاروتو	
hashida	هاشيدا	
hasyida	هاشيدا	
hat	هت	
hat	هيت	
hatsune	هاتسوني	
hei	هي	
hikasa	هيکاسا	
hoglin	هوݢلين	
hondo	هوندو	
